scenario,layer,lr,L,H,bs,mse_train,mse_val
com,gatv2,0.01,4,32,8,0.009550163408984309,0.010525935979816934
com,gatv2,0.01,4,16,4,0.011355062298800634,0.011607365698778424
com,gatv2,0.01,4,32,4,0.011592834649364586,0.01165518402282534
com,gatv2,0.01,5,16,8,0.011004093949399565,0.011867338887833315
com,gatv2,0.001,4,32,2,0.010443918382667977,0.011966402048309302
com,gatv2,0.001,4,16,4,0.011302865409980649,0.012067459154360253
com,gatv2,0.01,5,16,4,0.012184879669676657,0.012203580651689193
com,gatv2,0.001,4,16,2,0.010879110735233712,0.012315124080612742
com,gatv2,0.01,4,16,8,0.011156890383395164,0.012565937696089005
com,gatv2,0.01,5,32,8,0.01170023657867442,0.012872442185621837
com,gatv2,0.01,4,16,2,0.012610054437233054,0.012889155941405174
com,gatv2,0.001,5,32,2,0.012582568674469772,0.013680336900569242
com,gatv2,0.001,4,16,8,0.012720045406857262,0.014027271917539424
com,gatv2,0.01,4,32,2,0.014586209181858146,0.014195403116273469
com,gatv2,0.01,5,16,2,0.014174108425884143,0.014417733708075408
com,gatv2,0.001,5,16,4,0.013516238149579453,0.014431166751631376
com,gatv2,0.001,5,16,2,0.013414672122377416,0.01449472041286785
com,gatv2,0.001,5,16,8,0.013372644859001689,0.014616942145572654
com,gatv2,0.001,5,32,4,0.013776535127797852,0.014677552907759774
com,gatv2,0.0001,4,16,4,0.01410202948457521,0.014896196843092811
com,gatv2,0.0001,4,16,8,0.01436471941921374,0.01494572292371043
com,gatv2,0.001,5,32,8,0.014324410818517208,0.014964510349492574
com,gatv2,0.0001,5,16,2,0.014567280702454888,0.015007454050897524
com,gatv2,0.0001,5,16,8,0.014272392735533093,0.015052769204665875
com,gatv2,0.0001,4,16,2,0.014009376497858245,0.015074676641359412
com,gatv2,0.0001,5,16,4,0.01484609087119284,0.015274605376581693
com,gatv2,0.001,4,32,4,0.014413699495565632,0.01571158586262629
com,gatv2,0.001,4,32,8,0.014705529792801193,0.015791435388783956
com,gatv2,0.0001,4,32,8,0.017000913462075204,0.01591460570564558
com,gatv2,0.0001,4,32,4,0.016990607474809107,0.015939009616729515
com,gatv2,0.0001,4,32,2,0.017008228340874548,0.015952982377774757
com,gatv2,0.0001,5,32,8,0.016849944027869598,0.015974979671039457
com,gatv2,0.0001,5,32,2,0.01713028959929943,0.015993000586228125
com,gatv2,0.0001,5,32,4,0.017025389911040016,0.01601062199614685
com,gatv2,0.01,5,32,4,0.020608858561710172,0.01993447147181322
com,gatv2,0.01,5,32,2,0.020616226432764014,0.01993527247345653
