scenario,layer,lr,L,H,bs,mse_train,mse_val
com,gcn,0.001,4,32,8,0.015325635493449542,0.016785250543134993
com,gcn,0.001,5,32,2,0.014939412851210521,0.016828560559400196
com,gcn,0.001,5,32,4,0.01571418356312358,0.01690004846273825
com,gcn,0.001,5,16,2,0.015795086878959252,0.016930212892977328
com,gcn,0.001,5,16,4,0.0157364250768138,0.0169490409115779
com,gcn,0.001,5,16,8,0.01607410348141971,0.016971930861473083
com,gcn,0.001,4,32,2,0.015345784272674632,0.017017500844366592
com,gcn,0.001,4,32,4,0.015644659928005674,0.017034947534958864
com,gcn,0.001,5,32,8,0.015508683070378459,0.017064934146815335
com,gcn,0.001,4,16,2,0.016196585588319146,0.017283742219723505
com,gcn,0.001,4,16,8,0.01607493420091012,0.017316335137805033
com,gcn,0.0001,5,16,8,0.016271258837988842,0.01734016951302002
com,gcn,0.0001,5,16,4,0.01612471430764898,0.017343334789419997
com,gcn,0.0001,5,32,8,0.016025280405807755,0.01734750340532126
com,gcn,0.0001,5,32,2,0.016105600742056317,0.017356297354502923
com,gcn,0.001,4,16,4,0.016254350781926642,0.01736115892257156
com,gcn,0.0001,5,32,4,0.016128336038926373,0.017374243137651478
com,gcn,0.0001,5,16,2,0.016396807316366745,0.01753700049272899
com,gcn,0.0001,4,32,4,0.01620960767664339,0.01760893983059916
com,gcn,0.0001,4,32,2,0.01636271248774036,0.017627985007932473
com,gcn,0.0001,4,16,2,0.01629913872026879,0.017777910937779938
com,gcn,0.0001,4,32,8,0.016994378764344297,0.01803631749774875
com,gcn,0.0001,4,16,4,0.01665842954231345,0.01818779351767795
com,gcn,0.01,4,16,8,0.019247745277117128,0.01842062552620111
com,gcn,0.0001,4,16,8,0.018263980568103168,0.019017642877739053
com,gcn,0.01,5,32,4,0.020638714212438333,0.019933898419398684
com,gcn,0.01,5,16,4,0.02060147938521012,0.019936228203105515
com,gcn,0.01,4,32,4,0.02058802193597607,0.019937361092788392
com,gcn,0.01,5,32,2,0.020590764478496882,0.01993844280790152
com,gcn,0.01,5,16,2,0.02058737876460604,0.01993950631405259
com,gcn,0.01,5,32,8,0.020582485393337582,0.019939891030562335
com,gcn,0.01,4,16,2,0.02058569787313109,0.019940112942251665
com,gcn,0.01,4,32,2,0.02058280468310999,0.019941293489958704
com,gcn,0.01,5,16,8,0.020569988348237846,0.01994937075430463
com,gcn,0.01,4,32,8,0.020569131345204685,0.019949630673589378
com,gcn,0.01,4,16,4,0.020564176636221617,0.01995551749935438
