scenario,layer,lr,L,H,bs,mse_train,mse_val
com,sage,0.001,5,32,4,0.005224154102008628,0.006492049015801528
com,sage,0.001,5,32,8,0.005414422039630945,0.00665665075086571
com,sage,0.01,5,32,4,0.005508177245602659,0.006676823294175596
com,sage,0.01,5,32,2,0.005636023092286094,0.0066852616547639
com,sage,0.001,5,32,2,0.005028466123115757,0.006716683250049065
com,sage,0.001,5,16,4,0.005588801087730605,0.006750930759028114
com,sage,0.001,4,32,4,0.005703505482929556,0.006767314947049679
com,sage,0.01,5,16,2,0.005898460316593232,0.0067802652925381375
com,sage,0.01,5,16,4,0.005997764244270713,0.006781483695296378
com,sage,0.01,5,32,8,0.005957451985096154,0.00684478304124084
com,sage,0.001,4,32,2,0.00581344533306749,0.006854870452963072
com,sage,0.01,5,16,8,0.005947746026694126,0.006859336040335996
com,sage,0.001,5,16,2,0.006094231903957932,0.006974343563719043
com,sage,0.01,4,32,4,0.006385546021730356,0.007045087830067195
com,sage,0.0001,5,32,2,0.005859276988422093,0.007051132089490521
com,sage,0.001,4,32,8,0.006048990411521948,0.00708390978678804
com,sage,0.01,4,32,8,0.006156377583418204,0.0072034174929662
com,sage,0.001,5,16,8,0.006120329548645278,0.007218233831547971
com,sage,0.0001,5,32,4,0.006086854839130588,0.007306085923558165
com,sage,0.01,4,16,4,0.006669673651618802,0.007335532087318856
com,sage,0.001,4,16,4,0.006395245742295747,0.007364801926024515
com,sage,0.0001,5,32,8,0.006344323552659024,0.007418876578067911
com,sage,0.01,4,16,8,0.0064992499355550695,0.007556773368911496
com,sage,0.0001,4,32,2,0.006262861516164697,0.007572462991008471
com,sage,0.001,4,16,2,0.006709236236613082,0.007578739599356878
com,sage,0.0001,5,16,2,0.006774058024925382,0.007666931953281164
com,sage,0.0001,4,32,4,0.006477291341466101,0.007695658983470037
com,sage,0.01,4,16,2,0.007245191164395731,0.007750941874009782
com,sage,0.001,4,16,8,0.006896079635328573,0.007963609432095084
com,sage,0.0001,5,16,4,0.007196752326158078,0.00798302089217408
com,sage,0.0001,4,32,8,0.007088340608322102,0.008370314018222792
com,sage,0.0001,5,16,8,0.007566388135613954,0.008464547428141895
com,sage,0.0001,4,16,2,0.007672249333447088,0.00873009057651306
com,sage,0.0001,4,16,4,0.008034761912067947,0.009234806940216443
com,sage,0.0001,4,16,8,0.008267639690767164,0.00926058127641164
com,sage,0.01,4,32,2,0.02059216300106567,0.01993806165610922
