scenario,layer,lr,L,H,bs,mse_train,mse_val
hom,gatv2,0.0001,5,32,2,0.0007443482486873104,0.0008145602148253037
hom,gatv2,0.001,5,16,8,0.000884077407681616,0.0009553711176742017
hom,gatv2,0.001,5,32,8,0.0007802919686949457,0.0009713573427720333
hom,gatv2,0.0001,5,32,4,0.0009077816175378124,0.001025163110833499
hom,gatv2,0.001,5,32,4,0.0006171355138233559,0.0010286375091512067
hom,gatv2,0.001,4,32,2,0.0006523827663623587,0.0010733671483649232
hom,gatv2,0.0001,5,32,8,0.000999692947685498,0.0011122998824930619
hom,gatv2,0.001,5,16,2,0.0009132485749337048,0.0011149105398387824
hom,gatv2,0.001,4,16,8,0.0009676889737746656,0.001148341813608693
hom,gatv2,0.001,4,16,4,0.0010935030558199366,0.0011582245591978727
hom,gatv2,0.01,5,32,8,0.0008527664650327191,0.0011594894600060297
hom,gatv2,0.001,5,32,2,0.0006093405460947195,0.0012005437968363021
hom,gatv2,0.01,4,32,4,0.0008943207978858156,0.0012218129470746698
hom,gatv2,0.0001,4,32,2,0.0013202779704947123,0.0012260405512812401
hom,gatv2,0.001,5,16,4,0.0008214257249533049,0.0012437354114432498
hom,gatv2,0.001,4,32,4,0.0009942875222360152,0.0013449691386054397
hom,gatv2,0.001,4,32,8,0.0014698335326695246,0.0013874622687455548
hom,gatv2,0.01,4,16,8,0.0015459881879673562,0.0014823887373526744
hom,gatv2,0.0001,5,16,4,0.001587904448407916,0.0015136456111514267
hom,gatv2,0.01,4,32,2,0.0014313150809586693,0.0015380278832865238
hom,gatv2,0.001,4,16,2,0.0013586707870919543,0.0015505365421443552
hom,gatv2,0.01,4,32,8,0.0012757652267292423,0.001594307963481195
hom,gatv2,0.0001,5,16,2,0.0016225853181189766,0.001646525521501754
hom,gatv2,0.0001,4,32,4,0.0018136217056527802,0.001706120793987166
hom,gatv2,0.01,5,16,4,0.001137309796535854,0.0017408217608878486
hom,gatv2,0.0001,5,16,8,0.0019127300209220266,0.0018366851092713628
hom,gatv2,0.01,4,16,2,0.0017131026856364057,0.0018591931468171393
hom,gatv2,0.01,4,16,4,0.0018437722905851525,0.0021334601704689577
hom,gatv2,0.0001,4,32,8,0.002232056218565998,0.0021986471026672195
hom,gatv2,0.0001,4,16,2,0.0024011299959607003,0.0022565646705233716
hom,gatv2,0.0001,4,16,4,0.0024389811869090935,0.0023532152329074772
hom,gatv2,0.0001,4,16,8,0.0024975304438889312,0.0023908190440336294
hom,gatv2,0.01,5,16,8,0.0022642833415217035,0.0024978520535835834
hom,gatv2,0.01,5,16,2,0.0023734187605251246,0.002577618180057157
hom,gatv2,0.01,5,32,4,0.0033998630280591344,0.0035838121287677747
hom,gatv2,0.01,5,32,2,0.0037381019580389756,0.0037141917611091322
