scenario,layer,lr,L,H,bs,mse_train,mse_val
hom,gcn,0.001,5,32,2,0.0027849392635052143,0.0030631252272447958
hom,gcn,0.001,5,32,4,0.003016600635205775,0.0032470904304224453
hom,gcn,0.001,5,16,4,0.0036117573473585136,0.003485205175318948
hom,gcn,0.001,5,32,8,0.0037312737254820683,0.003526848174883839
hom,gcn,0.001,5,16,2,0.00409411656488057,0.0036406150694378524
hom,gcn,0.001,5,16,8,0.004178969579950955,0.004044224706564725
hom,gcn,0.001,4,32,2,0.0046359391138020845,0.004249344220970043
hom,gcn,0.0001,5,32,2,0.004737030940558053,0.0043616403528521286
hom,gcn,0.001,4,32,8,0.005801529125623663,0.004581136551333374
hom,gcn,0.001,4,16,4,0.00549896320665974,0.004732253348328382
hom,gcn,0.001,4,32,4,0.005235616978398352,0.004853186593538402
hom,gcn,0.001,4,16,8,0.005538699530354832,0.00501522798757331
hom,gcn,0.0001,5,32,4,0.005878721555674692,0.005101243972227354
hom,gcn,0.0001,4,32,2,0.006006539255537538,0.005209475767985388
hom,gcn,0.001,4,16,2,0.006150716925027233,0.005302799358889451
hom,gcn,0.0001,5,32,8,0.005812886583494812,0.005566599016125612
hom,gcn,0.0001,4,32,4,0.006685105478644128,0.005882696532165122
hom,gcn,0.0001,5,16,2,0.006744288451229453,0.0062714083529687645
hom,gcn,0.0001,4,16,2,0.006804623789408336,0.00632282593135736
hom,gcn,0.0001,4,32,8,0.007344429629260365,0.007342563555696337
hom,gcn,0.0001,5,16,4,0.007832843350344933,0.007628276696025217
hom,gcn,0.0001,5,16,8,0.007870041224517219,0.007723723293848111
hom,gcn,0.0001,4,16,8,0.008308298144781831,0.007913563413051728
hom,gcn,0.0001,4,16,4,0.007860950198348449,0.00804584893093902
hom,gcn,0.01,5,16,8,0.013070983140041,0.015717093504682797
hom,gcn,0.01,4,16,4,0.013270175748292114,0.01586062205601122
hom,gcn,0.01,4,16,8,0.01326248429730818,0.015880815879749686
hom,gcn,0.01,4,32,8,0.013288128363859394,0.015971589091036707
hom,gcn,0.01,4,16,2,0.014477021650508426,0.017028936135767284
hom,gcn,0.01,5,32,2,0.014457911965995584,0.017044930681706694
hom,gcn,0.01,5,32,8,0.015092251985460398,0.017046770944003146
hom,gcn,0.01,4,32,2,0.014440360866669636,0.017048764986925403
hom,gcn,0.01,5,16,4,0.0144465555955509,0.017060438857478058
hom,gcn,0.01,5,32,4,0.014392742278537101,0.01709242536212671
hom,gcn,0.01,5,16,2,0.014324229162846914,0.017142777729594823
hom,gcn,0.01,4,32,4,0.01430695249652237,0.017206687675909427
