scenario,layer,lr,L,H,bs,mse_train,mse_val
hom,mlp,0.001,5,32,8,0.0073334712991313805,0.006492342546999711
hom,mlp,0.001,5,16,8,0.007371107465714095,0.0064956721787517565
hom,mlp,0.01,5,32,4,0.007496451059452501,0.006497931940147878
hom,mlp,0.001,5,32,2,0.007394234123057686,0.006502468350186847
hom,mlp,0.001,4,16,8,0.00771681472201042,0.006509126570970944
hom,mlp,0.001,4,16,4,0.007493013843802897,0.006510114184618879
hom,mlp,0.01,5,16,4,0.0075057853673807465,0.006514754719883685
hom,mlp,0.001,4,32,8,0.007621663446290135,0.0065163878331579075
hom,mlp,0.01,5,16,8,0.007376528329737282,0.006523367103062779
hom,mlp,0.01,4,16,4,0.00753009054042986,0.006527029034322337
hom,mlp,0.01,5,32,8,0.007432022663377448,0.006528515267087516
hom,mlp,0.001,5,32,4,0.007295461706171805,0.0065313938378902345
hom,mlp,0.001,4,32,2,0.007599396084602315,0.006532528235452603
hom,mlp,0.001,5,16,4,0.007300782062457469,0.006537208875544883
hom,mlp,0.01,4,16,2,0.007372727852603218,0.006544575057542433
hom,mlp,0.01,4,16,8,0.007531529777485918,0.006558587690333611
hom,mlp,0.001,4,32,4,0.0076102256386429475,0.006564267281772055
hom,mlp,0.001,5,16,2,0.00738933326729634,0.006569983231923382
hom,mlp,0.001,4,16,2,0.007363084692295398,0.006577457725833138
hom,mlp,0.01,5,32,2,0.007696867125702303,0.006581479929144703
hom,mlp,0.0001,5,32,2,0.007603974310104209,0.006601746220659497
hom,mlp,0.0001,5,16,8,0.00740830576649624,0.0066075344110341295
hom,mlp,0.01,4,32,8,0.0074310865573352205,0.006611823676362762
hom,mlp,0.01,4,32,4,0.007543475994506203,0.006614729055556758
hom,mlp,0.01,5,16,2,0.007823349762475118,0.006619906897459918
hom,mlp,0.0001,5,16,2,0.0073672067522040936,0.006625111285067196
hom,mlp,0.0001,5,16,4,0.007364787256633661,0.00664013420715366
hom,mlp,0.0001,5,32,8,0.007382812792733919,0.006660343261218855
hom,mlp,0.0001,5,32,4,0.007594066453368767,0.006667952106438641
hom,mlp,0.01,4,32,2,0.007926519766561281,0.006671900973366252
hom,mlp,0.0001,4,32,2,0.007671393681717429,0.006676378728649257
hom,mlp,0.0001,4,32,4,0.007360325889464508,0.006683636926403591
hom,mlp,0.0001,4,32,8,0.007528664457925555,0.0067253719723245516
hom,mlp,0.0001,4,16,2,0.0075708394744889,0.006728776254899928
hom,mlp,0.0001,4,16,4,0.007445618918079519,0.006742925433831386
hom,mlp,0.0001,4,16,8,0.0074745370474967945,0.006758277920668881
