scenario,layer,lr,L,H,bs,mse_train,mse_val
hom,sage,0.001,5,32,4,0.0006316671572162507,0.000442277191409787
hom,sage,0.001,5,16,2,0.0006660947049518338,0.0005318453296585458
hom,sage,0.001,5,32,8,0.0005737575127983766,0.000542944576221183
hom,sage,0.001,5,32,2,0.0008891006007260054,0.0006842411412905896
hom,sage,0.001,4,16,2,0.0012092110800554308,0.0008249420067747043
hom,sage,0.01,5,16,8,0.001077245654371085,0.0008284125755192784
hom,sage,0.0001,5,32,2,0.0008226944627732218,0.0008428077409666128
hom,sage,0.001,5,16,8,0.001092622858368486,0.0009645949089488191
hom,sage,0.001,4,32,8,0.0010698405405234908,0.000980224962780806
hom,sage,0.001,4,16,8,0.001255695986472584,0.0010159941848542076
hom,sage,0.001,4,32,4,0.0011331326877236437,0.0010223635499328496
hom,sage,0.001,4,32,2,0.0010166636800378278,0.0010633331758385636
hom,sage,0.001,5,16,4,0.0012190748117063776,0.001144213021124697
hom,sage,0.001,4,16,4,0.0014155074949406337,0.0011747730904030974
hom,sage,0.01,4,16,8,0.0014865405408865785,0.0012309460863466014
hom,sage,0.01,4,32,4,0.0015539620444146947,0.0012864138742111992
hom,sage,0.0001,5,32,4,0.0011998626520954017,0.0012930817451731478
hom,sage,0.01,4,32,8,0.0013193894513318335,0.0013993278917041607
hom,sage,0.01,4,32,2,0.0015634091506280643,0.0014125966974524058
hom,sage,0.01,5,32,8,0.0016002371284981644,0.001546888516996064
hom,sage,0.0001,5,32,8,0.001812534749476823,0.002183884182535433
hom,sage,0.0001,5,16,2,0.0020484377808474086,0.0022673431096399297
hom,sage,0.01,4,16,4,0.0026567957748383103,0.002320261424254819
hom,sage,0.0001,4,32,2,0.0022525314100082894,0.002506387597256027
hom,sage,0.0001,5,16,4,0.002283044450529775,0.0026540589200961004
hom,sage,0.0001,4,32,4,0.002631484994819165,0.002948397120203951
hom,sage,0.0001,5,16,8,0.0025772701610232776,0.0029728922095743873
hom,sage,0.0001,4,32,8,0.0029889556233446573,0.0033607998085589596
hom,sage,0.0001,4,16,2,0.003064805707044402,0.0033660293315890535
hom,sage,0.01,4,16,2,0.0033416882303556675,0.0035819011601892397
hom,sage,0.0001,4,16,4,0.0033561762943226433,0.0037044532389323838
hom,sage,0.0001,4,16,8,0.003825518922956136,0.004116819161120882
hom,sage,0.01,5,16,2,0.0139730206990249,0.016128463339429862
hom,sage,0.01,5,16,4,0.014381885637276751,0.016666589068963417
hom,sage,0.01,5,32,4,0.01466976417100143,0.01702221535379067
hom,sage,0.01,5,32,2,0.01452719798823597,0.017039620596514052
